trimestre,inadimplencia_pf,concessao_pf,saldo_credito_pf,credito_pessoal_valor_pf,credito_consignado_valor_pf,taxa_juros_media_pf,comprometimento_renda_pf,taxa_selic_mensal,rendimento_medio,pessoas_ocupadas,taxa_desocupacao,ipca,taxa_desocupacao_var_perc,rendimento_medio_var_perc,comprometimento_renda_pf_var_perc,taxa_juros_media_pf_var_perc,ipca_var_perc,taxa_desocupacao_lag_1,rendimento_medio_lag_1,comprometimento_renda_pf_lag_1,taxa_juros_media_pf_lag_1,ipca_lag_1
2018-10-01,52.77,1584573.0,1765054.0,203705.0,0.0,6.739999999999999,21.58,0.5066666666666667,3051.0,167246.0,11.7,0.39,-2.500000000000002,0.5603164139749595,-2.6173285198555996,-1.2212994626282447,-45.83333333333333,12.0,3034.0,22.16,6.823333333333333,0.72
2019-01-01,53.04,1608544.0,1783149.0,198432.0,0.0,6.823333333333333,24.68,0.5,3069.0,167690.0,12.8,1.51,9.401709401709413,0.5899705014749346,14.365152919369795,1.2363996043521341,287.1794871794872,11.7,3051.0,21.58,6.739999999999999,0.39
2019-04-01,53.82,1640921.0,1839662.0,192809.0,0.0,6.886666666666667,25.6,0.51,3028.0,168128.0,12.1,0.71,-5.468750000000011,-1.3359400456174675,3.7277147487844386,0.9281875915974513,-52.980132450331126,12.8,3069.0,24.68,6.823333333333333,1.51
2019-07-01,53.64,1675579.0,1904373.0,187753.0,0.0,6.636666666666667,23.64,0.51,3036.0,168565.0,11.9,0.26,-1.6528925619834656,0.26420079260238705,-7.656249999999998,-3.630203291384315,-63.38028169014085,12.1,3028.0,25.6,6.886666666666667,0.71
2019-10-01,54.7,1717847.0,2010411.0,183360.0,0.0,5.876666666666666,21.8,0.41,3058.0,168997.0,11.1,1.77,-6.722689075630262,0.7246376811594235,-7.783417935702197,-11.45153189352085,580.7692307692307,11.9,3036.0,23.64,6.636666666666667,0.26
2020-01-01,50.63,1752892.0,2106765.0,178633.0,0.0,6.013333333333333,25.41,0.33666666666666667,3103.0,169427.0,12.4,0.53,11.711711711711725,1.4715500327011188,16.559633027522924,2.3255813953488413,-70.05649717514125,11.1,3058.0,21.8,5.876666666666666,1.77
2022-04-01,56.03,2353368.0,3004642.0,215731.0,0.0,5.303333333333334,25.54,0.96,2882.0,173068.0,9.3,2.22,-25.0,-7.122139864647115,0.5116096025186812,-11.807095343680697,318.86792452830196,12.4,3103.0,25.41,6.013333333333333,0.53
2022-07-01,56.03,2442554.0,3094862.0,226658.0,0.0,5.233333333333333,26.75,1.09,2982.0,173457.0,8.7,-1.32,-6.451612903225823,3.4698126301179633,4.737666405638219,-1.3199245757385292,-159.45945945945945,9.3,2882.0,25.54,5.303333333333334,2.22
2022-10-01,56.13,2520401.0,3206593.0,238243.0,0.0,5.206666666666667,26.63,1.0533333333333335,3043.0,173844.0,7.9,1.63,-9.195402298850563,2.045606975184433,-0.4485981308411269,-0.5095541401273884,-223.48484848484844,8.7,2982.0,26.75,5.233333333333333,-1.32
2023-01-01,55.98,2588459.0,3221196.0,247499.0,0.0,5.32,28.88,1.07,3067.0,174228.0,8.8,2.09,11.392405063291132,0.7886953664147267,8.449117536612839,2.176696542893719,28.220858895705515,7.9,3043.0,26.63,5.206666666666667,1.63
2023-04-01,57.78,2661477.0,3248860.0,257838.0,0.0,5.573333333333333,27.44,1.0366666666666668,3062.0,174607.0,8.0,0.76,-9.090909090909093,-0.16302575806977915,-4.986149584487531,4.761904761904745,-63.63636363636363,8.8,3067.0,28.88,5.32,2.09
2023-07-01,58.87,2735526.0,3289577.0,266650.0,0.0,5.59,26.66,1.0599999999999998,3119.0,174983.0,7.7,0.61,-3.749999999999998,1.8615284128020937,-2.8425655976676456,0.29904306220096544,-19.736842105263165,8.0,3062.0,27.44,5.573333333333333,0.76
2023-10-01,60.43,2812994.0,3385935.0,275132.0,0.0,5.6066666666666665,24.99,0.9366666666666666,3141.0,175352.0,7.4,1.08,-3.8961038961038974,0.705354280218029,-6.264066016504133,0.29815146094216427,77.04918032786887,7.7,3119.0,26.66,5.59,0.61
2024-01-01,60.65,2876135.0,3440122.0,282346.0,0.0,5.62,27.39,0.8666666666666667,3185.0,175719.0,7.9,1.42,6.756756756756754,1.4008277618592802,9.603841536614667,0.23781212841855748,31.481481481481467,7.4,3141.0,24.99,5.6066666666666665,1.08
2024-04-01,61.42,2963317.0,3526260.0,293254.0,0.0,5.75,26.08,0.8366666666666666,3233.0,176081.0,6.9,1.05,-12.658227848101266,1.5070643642072223,-4.78276743336985,2.313167259786475,-26.056338028169012,7.9,3185.0,27.39,5.62,1.42
2024-07-01,61.73,3064882.0,3622436.0,304338.0,4.0,5.78,26.45,0.8733333333333334,3227.0,176446.0,6.4,0.8,-7.246376811594201,-0.18558614290132835,1.418711656441718,0.521739130434784,-23.809523809523814,6.9,3233.0,26.08,5.75,1.05
2024-10-01,61.48,3156760.0,3766127.0,315659.0,5.0,5.9433333333333325,25.98,0.8833333333333334,3270.0,176810.0,6.2,1.48,-3.125,1.3325069724201999,-1.776937618147445,2.82583621683965,84.99999999999999,6.4,3227.0,26.45,5.78,0.8
2025-01-01,61.44,3234574.0,3811433.0,330333.0,847.0,6.113333333333333,28.84,0.9866666666666667,3318.0,177172.0,7.0,2.04,12.903225806451601,1.4678899082568808,11.008468052347965,2.8603477285473966,37.83783783783785,6.2,3270.0,25.98,5.9433333333333325,1.48
